name,acc,short_l,short_l/2,short_l/5,med_l,med_l/2,med_l/5,long_l,long_l/2,long_l/5
2YYH_1_A,54.832,56.115,73.913,100.0,65.468,73.913,92.593,48.201,81.159,100.0
2KCK_1_A,65.513,45.536,48.214,68.182,49.107,55.357,90.909,48.214,35.714,31.818
1EPT_1_A,55.598,97.674,100.0,100.0,74.419,90.476,100.0,90.698,80.952,62.5
5D4Z_1_A,64.063,51.402,56.604,76.19,71.963,66.038,61.905,42.991,37.736,57.143
2VNL_1_A,73.423,59.603,84.0,100.0,74.834,69.333,93.333,49.669,37.333,56.667
2L1J_1_A,33.737,47.059,82.353,100.0,64.706,88.235,83.333,26.471,11.765,16.667
2K3N_1_A,55.484,68.75,65.0,62.5,72.5,61.25,46.875,64.375,56.25,50.0
2CS0_1_A,57.665,59.664,100.0,100.0,63.866,98.305,100.0,73.109,71.186,65.217
3APQ_1_A,68.792,50.952,40.952,66.667,65.238,53.333,61.905,43.81,31.429,30.952
2DO5_1_A,38.853,25.862,13.793,9.091,48.276,41.379,27.273,84.483,86.207,90.909
3NR7_1_A,86.008,65.116,53.488,29.412,100.0,100.0,100.0,100.0,100.0,100.0
2G0I_1_A,51.392,48.966,62.5,100.0,65.517,83.333,100.0,37.931,23.611,10.345
2LS9_1_A,23.36,80.0,66.667,80.0,100.0,100.0,100.0,80.0,58.333,40.0
1NVP_5_C,69.081,81.579,100.0,100.0,100.0,100.0,100.0,44.737,57.895,100.0
2OER_1_A,70.987,64.953,58.879,66.667,57.944,46.729,61.905,50.935,45.794,66.667
2OOL_d2oola2,54.455,64.912,98.246,100.0,60.526,100.0,100.0,58.772,80.702,100.0
1N7S_1_A,92.391,46.032,41.935,33.333,100.0,100.0,100.0,100.0,100.0,100.0
1JQJ_d1jqjc2,67.984,54.976,51.429,59.524,76.777,69.524,54.762,63.507,75.238,88.095
2VSV_1_A,54.384,48.624,61.111,100.0,67.89,98.148,100.0,98.165,100.0,100.0
3PYC_1_A,55.774,65.909,74.242,96.154,85.606,96.97,100.0,84.848,98.485,100.0
1WV3_d1wv3a2,40.758,65.741,81.481,100.0,38.889,42.593,61.905,74.074,62.963,66.667
4LY7_1_A,58.781,63.871,68.831,100.0,64.516,84.416,100.0,85.161,90.909,96.774
2FF6_2_H,61.983,100.0,100.0,100.0,84.615,69.231,20.0,84.615,69.231,20.0
2MVZ_1_A,47.162,74.324,85.135,100.0,64.189,94.595,100.0,53.378,87.838,100.0
3OEI_2_C,49.37,73.958,100.0,100.0,59.375,97.917,100.0,35.417,33.333,57.895
3K5J_1_A,58.996,64.481,68.132,91.667,65.574,96.703,100.0,60.109,54.945,33.333
3U9G_1_A,66.478,52.838,56.14,93.333,56.769,52.632,82.222,78.166,74.561,71.111
2FOK_d2fokb4,60.753,58.549,67.708,94.737,68.912,67.708,94.737,61.658,57.292,52.632
3GXW_1_A,50.653,65.049,100.0,100.0,88.35,100.0,100.0,65.049,54.902,45.0
3V7I_d3v7ia1,60.298,73.333,77.333,100.0,48.667,56.0,100.0,38.667,36.0,73.333
1B22_d1b22a-,32.653,60.0,51.429,57.143,57.143,42.857,28.571,44.286,40.0,35.714
4MCJ_1_A,58.298,51.299,37.662,46.667,63.636,53.247,53.333,74.026,92.208,93.333
2MRW_1_A,76.313,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4RL4_1_A,63.981,59.906,67.925,95.238,57.075,85.849,100.0,64.151,70.755,97.619
4QWO_1_A,49.549,55.414,98.718,100.0,54.14,87.179,96.774,56.688,60.256,96.774
2IU5_d2iu5a1,62.805,53.521,57.143,100.0,28.169,34.286,85.714,36.62,28.571,42.857
4BY6_2_B,76.738,55.497,60.0,94.737,42.932,46.316,86.842,74.346,68.421,65.789
2W1T_1_A,61.528,55.618,76.404,100.0,48.315,66.292,100.0,44.944,30.337,25.714
1Y0N_1_A,51.894,74.359,87.179,100.0,43.59,61.538,100.0,55.128,71.795,100.0
4U4P_2_B,68.0,59.514,54.472,65.306,36.842,23.577,26.531,65.182,65.041,67.347
4C92_1_A,65.574,60.274,75.342,100.0,63.699,95.89,100.0,46.575,45.205,79.31
1U04_d1u04a3,62.928,67.873,68.182,68.182,85.068,80.909,65.909,60.181,54.545,59.091
3JAI_83_ff,66.675,48.529,82.353,100.0,55.882,55.882,61.538,94.118,88.235,69.231
3VH5_1_A,79.09,44.286,37.143,50.0,58.571,48.571,50.0,65.0,50.0,35.714
3MVC_1_A,60.81,59.627,51.25,37.5,77.64,71.25,46.875,47.826,48.75,34.375
2ELJ_1_A,57.089,40.909,36.364,58.824,44.318,36.364,11.765,60.227,54.545,52.941
4XDZ_d4xdzb1,54.326,47.253,53.846,69.444,58.242,56.044,83.333,62.088,67.033,88.889
2YW2_d2yw2b1,52.985,47.525,48.0,85.0,49.505,74.0,90.0,97.03,100.0,100.0
2MZZ_1_A,61.222,76.111,68.889,58.333,86.111,85.556,69.444,73.889,81.111,88.889
5EYR_d5eyra2,63.993,35.0,36.667,58.333,55.833,45.0,54.167,50.833,41.667,50.0
4RG9_2_S,71.837,69.767,47.619,25.0,100.0,100.0,100.0,100.0,100.0,100.0
2NB4_1_A,45.333,69.524,71.154,100.0,66.667,75.0,100.0,53.333,42.308,52.381
3BHO_1_A,66.546,60.577,63.462,85.366,73.558,75.962,65.854,58.173,53.846,46.341
1W8X_4_P,69.332,93.162,96.552,100.0,100.0,100.0,100.0,93.162,98.276,100.0
2LG6_1_A,32.716,58.333,44.444,14.286,58.333,100.0,100.0,30.556,38.889,100.0
2YUZ_1_A,59.17,86.0,100.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0
4CZ2_1_A,57.565,59.565,51.304,67.391,65.652,60.0,63.043,77.391,85.217,95.652
4AXG_2_C,84.076,73.077,55.385,53.846,100.0,100.0,100.0,100.0,100.0,100.0
4O5V_1_A,68.855,61.925,100.0,100.0,56.067,59.664,97.872,53.138,61.345,74.468
5AEF_1_A,52.423,100.0,100.0,100.0,100.0,100.0,100.0,89.286,100.0,100.0
3KRN_1_A,54.636,72.072,78.378,100.0,59.91,74.775,95.455,46.847,54.955,77.273
1CHU_d1chua3,52.14,43.103,60.345,100.0,70.69,60.345,43.478,41.379,58.621,100.0
1XSZ_d1xszb2,57.429,55.769,56.41,70.968,54.487,91.026,100.0,42.308,41.026,45.161
4XMH_1_A,59.912,72.973,100.0,100.0,95.135,100.0,100.0,57.297,57.609,78.378
1O6W_d1o6wa2,53.308,95.652,100.0,100.0,56.522,78.261,100.0,86.957,91.304,100.0
3L4C_1_A,57.827,58.182,59.091,68.182,63.636,60.0,65.909,57.273,57.273,45.455
4C5W_d4c5wa1,49.695,93.684,100.0,100.0,89.474,100.0,100.0,77.895,87.234,73.684
2O2G_1_A,59.774,56.054,59.459,86.364,61.435,81.982,97.727,79.372,86.486,93.182
2RPB_1_A,58.767,43.363,37.5,45.455,46.903,58.929,68.182,78.761,100.0,100.0
2LS2_1_A,75.2,84.0,83.333,100.0,100.0,100.0,100.0,84.0,66.667,40.0
1DS6_2_B,67.876,73.333,73.333,97.222,62.778,80.0,100.0,67.778,81.111,83.333
3E1E_1_A,58.715,68.085,95.714,100.0,90.071,100.0,100.0,87.234,91.429,100.0
2L4G_1_A,24.25,25.926,15.385,20.0,100.0,100.0,100.0,77.778,53.846,0.0
3SZ6_1_A,53.582,85.95,100.0,100.0,73.554,88.333,95.833,32.231,38.333,83.333
4B6X_1_A,78.114,57.778,40.0,44.444,44.444,33.333,27.778,20.0,11.111,22.222
2KDF_1_A,84.044,75.676,72.727,72.727,92.793,87.273,90.909,100.0,100.0,100.0
2MX9_1_A,62.259,40.602,31.818,38.462,51.128,36.364,38.462,43.609,34.848,38.462
2Z5U_d2z5ua3,57.116,48.624,74.074,100.0,56.881,90.741,100.0,100.0,100.0,100.0
4KT3_1_A,52.623,48.588,43.182,71.429,52.542,46.591,60.0,70.621,64.773,60.0
1YSE_1_A,54.545,60.993,48.571,42.857,81.56,81.429,75.0,73.759,70.0,57.143
1NTC_1_A,77.66,39.56,42.222,88.889,63.736,55.556,50.0,70.33,60.0,50.0
3AIZ_1_A,60.297,62.903,81.452,93.878,66.532,76.613,93.878,57.258,43.548,69.388
4OD9_2_B,67.03,68.724,90.083,100.0,68.724,77.686,97.917,78.601,72.727,66.667
2K6S_1_A,87.805,70.732,60.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0
2LEV_1_A,40.382,42.105,46.429,100.0,71.93,53.571,36.364,49.123,39.286,54.545
5C3L_2_B,91.201,82.394,81.69,71.429,78.873,70.423,64.286,98.592,97.183,92.857
3RMH_1_A,47.622,81.879,83.784,79.31,73.154,75.676,75.862,95.973,93.243,86.207
4XWX_1_A,55.371,69.461,100.0,100.0,67.066,98.795,100.0,54.491,75.904,100.0
2ACO_1_A,56.293,77.457,95.349,100.0,94.798,100.0,100.0,68.786,60.465,58.824
1Y88_d1y88a2,54.374,58.475,81.356,100.0,61.017,89.831,100.0,33.898,30.508,43.478
2CNT_1_A,64.326,55.0,97.5,100.0,75.0,100.0,100.0,64.375,96.25,100.0
3VBJ_1_A,60.756,59.024,50.0,46.341,36.585,34.314,36.585,70.244,65.686,68.293
1SX5_3_A,67.735,58.197,59.016,70.833,70.082,68.033,72.917,70.082,63.115,79.167
2FML_d2fmlb1,43.029,43.077,34.375,69.231,53.846,87.5,100.0,49.231,56.25,53.846
2LO7_1_A,31.113,54.839,60.0,83.333,64.516,93.333,100.0,100.0,100.0,100.0
1E44_2_B,35.775,66.667,62.5,89.474,75.0,66.667,42.105,100.0,100.0,100.0
1V76_1_A,49.858,100.0,100.0,100.0,80.208,100.0,100.0,67.708,100.0,100.0
1YDX_d1ydxa2,66.317,63.536,50.0,25.0,86.74,81.111,61.111,72.928,72.222,75.0
1GXY_1_A,63.172,63.717,53.982,42.222,59.735,55.752,66.667,41.593,46.018,66.667
1N67_d1n67a1,55.45,65.248,71.429,100.0,56.738,68.571,100.0,94.326,100.0,100.0
1ZT5_1_A,56.531,80.0,100.0,100.0,55.0,77.5,100.0,35.0,32.5,37.5
3IU6_1_A,58.8,46.259,36.986,48.276,57.823,53.425,44.828,63.946,54.795,41.379
3VE0_2_J,75.964,65.269,57.831,66.667,82.635,84.337,72.727,62.874,57.831,48.485
3PP4_3_P,40.64,56.0,58.333,80.0,52.0,66.667,100.0,84.0,91.667,80.0
2ARP_2_F,71.27,78.289,94.737,96.667,48.026,64.474,83.333,39.474,34.211,33.333
2MXW_1_A,56.699,65.217,91.304,100.0,71.739,71.739,88.889,100.0,100.0,100.0
2DZJ_1_A,49.91,40.909,61.364,100.0,30.682,25.0,35.294,45.455,72.727,94.118
5DWU_1_A,70.526,73.214,68.75,88.636,72.768,63.393,77.273,56.25,46.429,81.818
1KQI_1_A,32.341,42.105,47.368,85.714,31.579,36.842,42.857,21.053,10.526,14.286
1LMQ_1_A,47.665,38.76,31.25,44.0,36.434,26.562,20.0,73.643,62.5,60.0
4EP8_2_B,59.19,73.267,76.0,100.0,45.545,50.0,100.0,100.0,100.0,100.0
3J9M_70_AP,60.004,54.225,42.254,46.429,95.07,95.775,92.857,39.437,26.761,17.857
2R16_1_A,55.497,73.077,97.802,100.0,64.835,75.824,69.444,58.242,94.505,100.0
3CX5_d3cx5m2,55.773,49.333,38.667,53.333,64.0,64.0,73.333,82.0,100.0,100.0
2WBX_1_A,51.182,64.706,90.196,100.0,73.529,94.118,100.0,51.961,62.745,90.0
4RFA_1_A,68.967,61.504,74.336,100.0,65.929,63.717,93.333,69.469,94.69,100.0
1WSU_2_A,60.289,45.161,75.806,100.0,50.0,35.484,29.167,45.161,35.484,29.167
2LK2_1_A,61.002,51.685,38.636,64.706,29.213,18.182,29.412,49.438,40.909,41.176
1X3D_1_A,66.77,72.034,91.525,100.0,79.661,83.051,100.0,89.831,100.0,100.0
2F49_2_C,89.751,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2IGI_1_A,62.642,58.333,62.222,91.667,74.444,96.667,100.0,62.222,73.333,80.556
2K38_1_A,58.286,97.222,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2L7X_1_A,38.067,49.351,52.632,60.0,48.052,42.105,53.333,96.104,92.105,80.0
3FF2_1_A,56.118,85.47,100.0,100.0,100.0,100.0,100.0,41.88,62.069,100.0
1BH9_2_B,75.483,40.449,27.273,41.176,29.213,18.182,35.294,67.416,54.545,41.176
4XVN_1_A,74.195,62.644,56.322,47.059,72.414,60.92,44.118,71.264,57.471,44.118
2GYS_d2gysb4,55.996,74.51,92.157,100.0,95.098,100.0,100.0,97.059,100.0,100.0
1VP8_1_A,58.798,50.746,63.0,97.5,61.194,97.0,100.0,53.234,50.0,57.5
2FXM_1_A,97.6,51.163,48.438,44.0,100.0,100.0,100.0,100.0,100.0,100.0
2XEM_1_A,62.578,58.667,86.667,100.0,84.0,100.0,100.0,100.0,100.0,100.0
2QN6_2_B,59.963,50.538,67.391,100.0,59.14,76.087,100.0,93.548,100.0,100.0
1QJ8_1_A,61.053,79.73,100.0,100.0,100.0,100.0,100.0,83.108,85.135,82.759
1H97_1_A,59.23,45.578,32.877,51.724,72.109,60.274,44.828,50.34,38.356,37.931
4F9C_2_B,84.31,60.417,54.167,100.0,55.556,33.333,42.857,99.306,98.611,100.0
4O8B_1_A,61.229,45.082,54.098,83.333,69.672,60.656,37.5,35.246,24.59,12.5
3TDH_2_B,73.761,52.212,73.214,100.0,53.097,78.571,100.0,70.796,71.429,59.091
4TK0_1_A,60.11,56.828,55.752,71.111,72.687,70.796,82.222,42.731,46.018,93.333
3HTU_2_B,91.918,74.359,84.211,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3S8K_1_A,55.615,73.37,83.696,100.0,67.935,91.304,100.0,75.0,60.87,47.222
2LIF_1_A,68.587,92.593,92.308,80.0,100.0,100.0,100.0,85.185,92.308,100.0
1IFP_1_A,82.955,88.636,86.364,87.5,100.0,100.0,100.0,100.0,100.0,100.0
4DOH_2_B,60.257,66.019,80.583,95.122,65.049,90.291,90.244,46.117,57.282,58.537
1OR7_d1or7b1,62.997,35.211,42.857,100.0,59.155,45.714,42.857,28.169,25.714,42.857
4IC7_2_E,61.764,50.0,61.905,100.0,67.46,71.429,100.0,55.556,39.683,36.0
2W7N_1_A,71.231,52.475,56.0,95.0,66.337,58.0,65.0,34.653,30.0,60.0
2QL2_1_A,74.617,75.0,66.667,66.667,30.0,16.667,8.333,100.0,100.0,100.0
3LVY_1_A,64.435,46.377,44.66,65.854,65.217,56.311,51.22,53.14,41.748,29.268
2ZDI_2_C,80.282,85.43,86.667,100.0,63.576,60.0,100.0,48.344,33.333,26.667
3ZIA_4_H,66.545,73.188,100.0,100.0,74.638,97.101,100.0,55.797,78.261,100.0
3BOE_1_A,56.245,48.571,50.476,54.762,78.095,74.286,59.524,62.381,48.571,50.0
2EPP_1_A,78.168,62.121,42.424,46.154,62.121,48.485,38.462,100.0,100.0,100.0
1AHS_1_A,46.422,49.206,41.27,36.0,49.206,44.444,36.0,65.079,82.54,76.0
4D02_d4d02a1,62.762,68.952,88.71,100.0,63.71,79.032,100.0,55.645,66.935,85.714
5AFU_14_U,55.173,49.405,40.476,42.424,33.333,35.714,36.364,42.857,32.143,24.242
1JQS_3_C,43.512,64.706,76.471,100.0,69.118,79.412,92.308,100.0,100.0,100.0
3Q5W_1_A,75.671,63.673,50.82,40.816,65.714,48.361,24.49,62.857,54.098,42.857
2BEZ_2_F,84.807,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1K9A_d1k9ab1,53.124,94.521,100.0,100.0,100.0,100.0,100.0,78.082,100.0,100.0
2RKZ_2_M,77.16,90.476,80.0,75.0,100.0,100.0,100.0,80.952,60.0,0.0
1CL4_1_A,35.547,63.333,90.0,100.0,75.0,70.0,75.0,93.333,86.667,66.667
1LLA_d1llaa1,48.832,51.852,42.593,66.667,56.481,42.593,33.333,40.741,22.222,0.0
4I1S_2_B,51.96,78.846,88.462,100.0,82.692,100.0,100.0,67.308,69.231,70.0
2KBT_1_A,49.842,81.69,100.0,100.0,69.718,100.0,100.0,64.789,100.0,100.0
4MTU_1_A,61.773,51.389,56.944,100.0,75.694,93.056,100.0,98.611,100.0,100.0
2HEP_1_A,64.683,69.412,57.143,35.294,68.235,40.476,17.647,65.882,50.0,29.412
4UUU_1_A,59.231,64.516,70.13,90.323,67.742,66.234,83.871,52.258,55.844,70.968
2MVJ_1_A,69.379,73.077,61.538,60.0,100.0,100.0,100.0,76.923,53.846,100.0
1E1O_d1e1oa1,59.592,68.531,92.958,100.0,71.329,95.775,100.0,66.434,87.324,100.0
4UIS_2_B,62.354,69.71,66.667,60.417,71.369,67.5,68.75,87.137,85.833,85.417
3VX7_2_B,59.016,71.053,94.737,100.0,71.053,100.0,100.0,55.263,46.053,43.333
5HFK_1_A,67.388,47.257,48.305,76.596,64.135,63.559,76.596,50.211,55.085,89.362
1JFI_d1jfia-,73.621,69.697,63.636,92.308,30.303,39.394,76.923,57.576,63.636,61.538
1TYG_1_B,47.266,75.862,88.372,100.0,65.517,62.791,58.824,49.425,90.698,100.0
3HQ0_d3hq0a2,58.185,77.632,100.0,100.0,88.816,100.0,100.0,48.684,59.211,70.0
2NV4_1_A,56.708,78.912,82.192,96.552,70.068,65.753,96.552,53.741,80.822,96.552
4V6W_29_AG,81.704,48.79,38.71,55.102,58.468,39.516,57.143,63.71,53.226,32.653
2PVQ_d2pvqa2,64.19,42.975,35.0,45.833,50.413,33.333,20.833,55.372,55.0,54.167
2O5I_7_E,53.474,43.434,24.49,26.316,88.889,85.714,84.211,61.616,59.184,68.421
2MBC_1_A,58.642,54.938,43.21,37.5,47.531,46.914,34.375,66.049,92.593,100.0
3F67_1_A,62.936,54.357,56.667,93.75,63.071,66.667,97.917,77.178,85.0,93.75
2NYZ_2_D,51.626,68.817,100.0,100.0,54.839,97.826,100.0,41.935,39.13,38.889
2A45_4_H,82.396,68.132,68.889,100.0,83.516,73.333,50.0,100.0,100.0,100.0
5BMU_2_B,60.705,55.429,54.023,82.857,83.429,80.46,80.0,54.286,60.92,97.143
2H2M_1_A,51.449,54.63,50.0,66.667,58.333,55.556,47.619,57.407,48.148,57.143
2NS9_1_A,60.531,65.605,100.0,100.0,96.815,100.0,100.0,77.707,82.051,83.871
3SUI_2_B,76.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2FMY_1_A,71.8,68.636,73.636,100.0,68.182,61.818,97.727,63.182,99.091,100.0
2LT5_1_A,50.75,70.0,58.333,58.333,64.167,51.667,45.833,48.333,63.333,75.0
4A69_d4a69c-,59.63,13.043,8.824,7.692,49.275,29.412,15.385,86.957,79.412,92.308
1QQH_1_A,59.983,88.194,97.222,100.0,61.111,93.056,100.0,55.556,44.444,71.429
4P4H_2_I,55.755,50.0,53.704,95.238,62.963,51.852,61.905,49.074,31.481,14.286
2W07_2_B,55.003,44.595,43.243,48.276,78.378,79.73,55.172,64.865,91.892,100.0
4Y4O_30_18,58.746,70.769,87.5,100.0,40.0,31.25,23.077,40.0,28.125,30.769
2XET_1_A,48.693,73.034,97.727,100.0,85.393,97.727,100.0,100.0,100.0,100.0
4IPU_1_A,51.319,71.533,98.529,100.0,62.044,85.294,100.0,51.825,38.235,40.741
1DFX_1_A,55.501,72.0,93.548,100.0,64.0,75.806,76.0,84.8,95.161,100.0
1Z6N_1_A,57.926,55.689,57.831,84.848,67.066,57.831,51.515,79.641,96.386,100.0
5I0C_1_A,52.127,70.968,100.0,100.0,60.215,93.478,100.0,29.032,41.304,100.0
3QWN_1_A,64.269,71.963,84.112,100.0,62.617,75.701,83.333,60.28,70.093,95.238
1T3B_1_A,68.481,59.242,93.333,100.0,54.028,47.619,88.095,68.72,96.19,100.0
1PON_2_B,42.82,83.333,88.889,85.714,72.222,66.667,57.143,100.0,100.0,100.0
2KW6_1_A,71.314,38.462,18.75,15.385,41.538,28.125,7.692,29.231,15.625,15.385
2YRV_1_A,56.162,60.684,74.138,100.0,41.88,53.448,100.0,58.12,48.276,52.174
3HRY_1_A,66.808,46.575,52.778,92.857,19.178,25.0,57.143,61.644,47.222,100.0
1E7L_d1e7lb2,69.319,38.835,37.255,85.0,62.136,58.824,100.0,48.544,39.216,60.0
4WPM_1_A,50.215,64.463,81.667,100.0,65.289,63.333,83.333,96.694,100.0,100.0
4MB6_1_A,60.596,48.663,63.441,83.784,48.663,51.613,62.162,48.128,44.086,54.054
2A9D_d2a9da2,65.08,67.871,62.097,79.592,50.602,43.548,75.51,53.815,49.194,26.531
1GRI_1_A,73.354,80.184,100.0,100.0,83.41,100.0,100.0,47.926,43.519,72.093
1CWV_d1cwva4,43.449,70.33,100.0,100.0,52.747,88.889,100.0,32.967,22.222,11.111
1Q4U_1_A,61.383,69.536,100.0,100.0,76.821,100.0,100.0,100.0,100.0,100.0
2CMY_2_B,64.626,47.059,35.294,16.667,32.353,41.176,100.0,100.0,100.0,100.0
3J79_37_a,76.504,58.667,54.667,100.0,68.667,65.333,46.667,45.333,33.333,30.0
5E7T_1_A,63.338,76.154,100.0,100.0,58.462,80.0,100.0,28.462,18.462,11.538
3ADG_1_A,57.628,79.452,100.0,100.0,100.0,100.0,100.0,26.027,16.667,14.286
2NPU_1_A,53.083,43.651,38.095,48.0,50.0,38.095,64.0,65.873,50.794,36.0
4B0H_1_A,58.266,63.194,59.722,71.429,45.139,41.667,57.143,63.889,100.0,100.0
1BQU_d1bqub1,55.446,86.869,95.918,100.0,84.848,95.918,100.0,100.0,100.0,100.0
2W83_2_C,95.144,50.649,63.158,86.667,100.0,100.0,100.0,100.0,100.0,100.0
1R89_d1r89a2,62.071,71.127,77.465,100.0,50.0,54.93,100.0,49.296,46.479,71.429
1RSO_1_A,67.028,50.0,43.333,58.333,31.667,30.0,58.333,60.0,33.333,25.0
4CSO_1_A,61.902,54.63,51.852,76.744,54.167,52.778,51.163,58.796,50.0,44.186
1IUF_1_A,70.486,56.944,58.333,71.429,52.778,41.667,32.143,68.75,56.944,39.286
2YRB_1_A,64.411,65.385,84.615,100.0,83.333,96.154,100.0,75.0,79.487,93.548
4HV0_1_A,44.656,55.66,56.604,100.0,83.962,71.698,66.667,74.528,73.585,66.667
1D2D_1_A,50.925,40.678,44.828,100.0,45.763,62.069,100.0,32.203,41.379,45.455
1PVM_1_A,62.754,56.522,89.13,100.0,59.783,69.565,100.0,44.565,45.652,47.222
1TPG_d1tpga2,47.32,84.0,100.0,100.0,38.0,64.0,100.0,60.0,52.0,20.0
4COB_1_A,61.17,62.326,61.682,76.744,55.349,56.075,86.047,75.349,93.458,100.0
4G4K_1_A,48.782,100.0,100.0,100.0,78.641,100.0,100.0,45.631,29.412,35.0
3PAS_1_A,71.177,42.564,39.175,58.974,54.872,42.268,61.538,54.872,52.577,51.282
3Q18_1_A,69.881,43.096,42.017,76.596,61.506,47.899,38.298,64.017,68.067,95.745
1TKE_d1tkea2,58.493,50.0,75.309,100.0,51.852,70.37,100.0,59.877,85.185,100.0
3JBP_15_2,49.435,38.235,35.294,84.615,48.529,35.294,30.769,72.059,70.588,69.231
1V43_d1v43a2,68.082,91.429,100.0,100.0,77.143,100.0,100.0,90.0,100.0,100.0
2V2K_1_A,38.147,82.857,82.692,80.952,72.381,63.462,57.143,40.952,50.0,52.381
1EDX_1_A,3.25,85.0,90.0,87.5,65.0,65.0,75.0,85.0,90.0,87.5
2V24_1_A,55.559,60.096,68.269,70.732,54.327,47.115,53.659,58.654,77.885,97.561
1NXJ_1_A,47.588,69.399,57.143,50.0,53.552,39.56,55.556,64.481,72.527,97.222
3Q3W_1_A,57.483,64.532,58.416,100.0,62.069,51.485,55.0,73.892,95.049,100.0
4QXL_1_A,50.17,72.5,76.667,91.667,64.167,61.667,58.333,66.667,100.0,100.0
4BL0_2_B,52.324,34.667,35.135,53.333,62.667,54.054,60.0,100.0,100.0,100.0
2WNK_1_A,61.332,56.723,81.513,82.979,59.244,63.866,68.085,42.437,53.782,63.83
1W99_d1w99a1,70.539,52.332,44.792,44.737,38.86,28.125,34.211,51.295,42.708,39.474
1WPN_1_A,57.69,50.532,37.234,45.946,53.723,74.468,91.892,70.213,85.106,83.784
2DLQ_d2dlqa1,38.314,7.692,0.0,0.0,53.846,38.462,40.0,65.385,69.231,100.0
1WGL_1_A,60.787,47.458,65.517,100.0,44.068,34.483,81.818,28.814,17.241,9.091
2M98_1_A,50.129,39.837,34.426,54.167,61.789,70.492,87.5,92.683,98.361,100.0
3A9F_1_A,44.412,52.174,41.304,44.444,57.609,36.957,11.111,57.609,47.826,33.333
1KSI_d1ksib3,57.562,52.778,79.63,100.0,73.148,100.0,100.0,48.148,51.852,100.0
4GD3_3_A,72.214,76.596,77.778,74.468,80.0,86.325,89.362,89.787,82.906,72.34
3WU2_14_T,87.0,56.25,50.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0
4HEA_5_5,72.225,59.903,62.136,100.0,76.812,95.146,100.0,52.174,54.369,97.561
2FU2_1_A,43.655,61.765,60.784,60.0,53.922,37.255,35.0,59.804,50.98,30.0
3GGZ_2_E,52.941,82.759,85.714,80.0,100.0,100.0,100.0,100.0,100.0,100.0
2III_1_A,60.41,58.519,82.09,100.0,54.815,94.03,100.0,99.259,100.0,100.0
2R5U_1_A,65.992,56.5,48.0,52.5,66.0,57.0,52.5,53.0,39.0,40.0
2MM6_1_A,37.222,60.0,40.0,66.667,30.0,40.0,83.333,40.0,13.333,0.0
2LNH_3_C,61.979,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2MZ0_1_A,45.62,58.182,85.185,100.0,56.364,100.0,100.0,45.455,51.852,81.818
2HI0_1_A,64.743,50.0,47.5,41.667,67.917,81.667,97.917,58.333,72.5,85.417
1YNN_d1ynnb2,51.008,64.228,65.574,62.5,62.602,60.656,54.167,86.179,93.443,100.0
5FN3_5_G,33.333,62.5,75.0,50.0,100.0,100.0,100.0,66.667,33.333,0.0
2G3Q_1_A,47.485,39.535,80.952,100.0,37.209,47.619,100.0,32.558,19.048,0.0
1XYR_5_6,80.17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1P3Q_d1p3qr-,65.569,58.333,27.778,14.286,77.778,55.556,14.286,83.333,100.0,100.0
3JTC_1_A,63.707,76.166,96.875,100.0,82.383,98.958,100.0,55.44,76.042,100.0
4GBS_1_A,57.812,77.0,80.0,100.0,75.0,81.0,100.0,59.5,50.0,52.5
4XXI_1_A,66.644,47.771,51.282,64.516,56.051,55.128,61.29,55.414,56.41,58.065
5C30_1_A,63.705,50.746,46.0,50.0,62.189,49.0,55.0,64.677,61.0,45.0
4EVU_1_A,56.947,68.056,97.222,100.0,70.833,100.0,100.0,97.222,100.0,100.0
4RI2_1_A,67.688,73.113,78.302,78.571,96.698,98.113,97.619,68.396,68.868,61.905
1V58_d1v58b2,44.917,51.667,86.667,100.0,58.333,100.0,100.0,45.0,36.667,33.333
2JXA_1_A,54.21,72.642,58.491,52.381,49.057,43.396,14.286,85.849,92.453,95.238
5DWU_2_B,71.713,60.099,72.277,97.5,60.591,60.396,77.5,66.01,65.347,90.0
3P8C_5_F,89.855,70.44,64.557,58.065,74.843,60.759,29.032,64.151,63.291,54.839
1JJR_1_A,37.106,53.642,44.0,43.333,50.993,36.0,23.333,66.887,65.333,66.667
3WGX_2_C,48.98,80.0,60.0,50.0,80.0,60.0,0.0,80.0,60.0,0.0
2JKU_1_A,51.918,85.106,74.468,50.0,37.234,19.149,44.444,76.596,53.191,22.222
2QLW_1_A,58.239,58.333,51.389,75.0,84.722,79.167,100.0,57.639,93.056,100.0
1VLM_1_A,60.982,68.493,66.055,67.442,62.1,59.633,81.395,83.562,88.991,93.023
